headlines,word_count
snura sijui kwanini ‘script’ mpya chura imekataliwa,7
corona yamfanya nandy kutumbuiza instagram,5
profesa maghembe asisitiza kilimo kisasa,5
ndugulile akagua utayari kutibu corona kilimanjaro,6
kocha simba asema ataishangaza mazembe,5
mkude simba mambo safi yamwania mfungaji bora zambia,8
kiba kurudishiwa tuzo,3
straika mghana anukia jangwani,4
‘wakimbizi hawarudishwi burundi kulazimishwa’,4
kikosi yanga dhidi township rollers leo,6
yanga yarejea yajichimbia pemba,4
wakulima watishia kuacha kulima tumbaku,5
majuto kuhiji kunanipa mgumu kuigiza,5
samia aonya wanaotafuna fedha serikali,5
makubaliano saba yaliyofikiwa mkutano sadc,5
mfanyabiashara atuhumiwa kumbaka mwanawe,4
rc aagiza wasio sare sekondari,5
nacte yafuta vyuo,3
kikongwe atarajia mtoto,3
china kudumisha utamaduni,3
kasongo mpinda hatunaye,3
rais obiang atimiza miaka madarakani,5
mkemia mkuu wanaotumia dawa kulevya wameongezeka,6
zahera aliamsha ‘dude’ arusha,4
yanga yarudi kileleni kishindo,4
serikali yapewa bil maji,4
bado miaka mitano davido kuacha muziki,6
sweden yaipa sh bilioni,4
wakulima miwa kupatiwa hati kimila,5
chonde chonde kenyatta raila,4
manafort amweka pabaya rais trump,5
alhad aitaka serikali kuingilia katazo nemc adhana kengele kupigwa dakika mbili,11
kili queens yatinga fainali,4
dabo kurekodi wajamaika,3
serikali yatangaza kufuta diploma ualimu,5
wasanii wauza simu zao kuishi kutokana ukata corona,8
askofu pengo astaafu jimbo kuu dar es salaam ruwa’ichi amrithi,10
‘halmashauri tengeni maeneo uwekezaji’,4
waziri sitabagua mtapata haki,4
ulimwengu arejea nyumbani mkataba miaka miwili,6
polepole ccm azitolea uvuvi ngo’s,5
miamba yote vpl kukutana dar,5
walioahidi kuchangia ‘chozi fukara’ waingia mitini,6
mtibwa sugar bado waota nafasi,5
festo sanga john tiber mchezaji wetu halali,7
mvua zadaiwa kikwazo mradi gesi,5
mbuna bado alia kipigo simba,5
kampuni ulinzi zaonywa,3
kijazi aagiza maandalizi mkutano sadc kukamilika wiki,7
kweli simba mpachike mimba akothee – mashabiki diamond,8
‘dhibitini kampuni bima danganyifu’,4
tcu yafungia chuo kikuu yaamuru wanafunzi wahamishwe,7
tfda tbs zatoa ufafanuzi vidonge chupa chai,7
balozi idd smz itaendelea kusambaza maji safi salama,8
twanga mango garden aprili,4
nmb yatoa msaada madawati mabati shule kigamboni,7
mtibwa sugar yarejea kishindo afrika,5
mama diamond kuvuta madawa kulevya angeanzia tandale,7
‘taulo kike zinazotumika ziko imara’,5
lugola ataja makundi manne bodaboda yanayoshikiliwa polisi,7
tra wafanyabiashara lipeni kodi,4
gawio airtel kujenga hospitali dodoma,5
simba yairudisha yanga kimataifa,4
stars kamili kuivaa misri jumamosi,5
malaika huna mkwanja kaa pembeni,5
aliyedhaniwa kufa miaka minne iliyopita apatikana akiwa mzima,8
waguswa ujenzi daraja kigongobusisi,4
mlinzi mbeya city kukosa michezo mitatu,6
yanga yaendelea kudondosha pointi muhimu,5
nmb yatoa misaada sh milioni,5
sportpesa ‘kumwaga’ mamilioni,3
waziri kairuki aomba kiwanda kizalishe gesi hospitali,7
tma mvua zinazonyesha mfupi,4
filamu kushindanishwa tamasha ziff mwaka,5
maeneo madini wanawake kuongezwa,4
rc dc wachukulie hatua viongozi vijiji,6
wilaya tatu pemba zaushukuru mradi paza,6
msami aumwagia sifa ‘step by step’,6
kinana arusha kombora maalim seif,5
mkesha kuombea mwaka mpya,4
hatima neymar kujulikana leo,4
vibaka waiba koki maji stendi mabasi,6
barcelona watwaa kombe dunia japan,5
walima korosho wapongeza serikali,4
safisha safisha kimya kimya ccm,5
kiswahili kufundishwa rasmi uganda januari,5
kabudi azungumzia mabadiliko sheria,4
kocha mpya simba anadi sera,5
ruwa’ichi agusia papa francis kubusu miguu viongozi sudan kusini,9
serikali yasita kukataza tohara,4
tamasha kupigana nyanya laharibu tani,5
﻿njia sahihi kulipa kisasi kumwonyesha upendo aliyekuudhi,7
kijana atoweka kukodiwa,3
lulu arudi rasmi instagram awashukuru waliomuombea,6
simba wamtimua kerr,3
atcl kusafirisha minofu samaki,4
atcl yasafirisha abiria usiku kucha,5
watanzania walioshikiliwa malawi waachiwa,4
jafo afurahishwa kasi ujenzi hospitali kilolo,6
kuuza mazao nje,3
yanga pumzi muhimu leo,4
chris brown awaliza mashabiki,4
familia yakubali mugabe azikwe mashujaa,5
wachezaji ligi kuu kupimwa corona,5
serengeti yaonja joto tra,4
dc aeleza sababu polisi kuzingira mkutano mbowe,7
vyama siasa kubanwa fedha ruzuku,5
kauli yamponza jose mourinho,4
kuishangilia yanga leo,3
rais namibia atetea kiti chake,5
rostam yanga inatakiwa kumilikiwa wanachama,5
bunge laibua ufisadi mabilioni nssf,5
dar lindi kinara maambukiziya matendemabusha﻿,5
snura mushi natamani nimrudie,4
polepole tuliwakataa wabunge chadema,4
tari kutoa elimu afya udongo,5
upasuaji nyonga magoti waanza kufanyika nchini,6
wauwawa mlipuko bomu somalia,4
azam fc hasira zote kmc,5
rugemalila seth washindwa kupelekwa kortini,5
daktari anayetuhumiwa kuomba rushwa ngono mjamzito pemba asimamishwa kazi,9
dk tenga wenzake wamuandikia dpp agizo rais magufuli,8
kanzidata kubaini asili mtanzania,4
amuua rafiki ala ubongo sehemu siri,6
barca messi atabaki milele akitaka kuondoka,6
mayanja kutumbua majipu simba,4
wenye nyumba kubanwa walipe kodi,5
familia yamhurumia kylie jenner,4
dani alves afunga ndoa kimya kimya,6
simba kiboko,2
manchester kuvunja rekodi verratti,4
kisa maji tanga kahawia,4
kikwete amtakia heri samatta,4
stars malawi,2
wanawake hawanyonyeshi utaratibu’,3
wasafi kutafuta wasanii chipukizi,4
wajitokeza kupima vvu mloganzila,4
jpm amejitoa sadaka – mwigulu,5
jkci yasaidiwa mataulo maalumu wagonjwa,5
ccm tutamngoa zitto gharama yoyote,5
eddie murphy atarajia mtoto,4
wema kumuimba msichana uliyeachana ushamba,5
conte awaonya wapinzani hazard,4
isihaka kifungo mwezi atemwa unahodha,5
tff wadaiwa kuwatelekeza serengeti,4
wajue ‘wanaume’ sita wenye kiu kucheza vpl,7
omondi mc pilipili jukwaa,4
urusi china zalaani mkakati mpya usalama marekani,7
mahakama yaruhusu kura siri kutokuwa imani zuma,7
rais comoro amtunuku nishani balozi kilumanga,6
haki ikiongezeka itapanda uchumi,4
lugola aonya taarifa mauaji watoto,5
majaliwa awaonya kiongozi maded,4
iran yaendelea msimamo utengenezaji makombora,5
jafo afurahia kuondolewa kodi majengo tamisemi,6
jpm kodi zetu zinatufanya tuheshimike,5
ripoti pili makinikia kutikisa taifa,5
mgawanyo fedha tanroads tarura kuangaliwa upya,6
rio ferdinand umri utamuumbua ngumi,5
aneth kushaba kufungua mwaka ‘call me’,6
rc atoa halmashauri zinunue mashine,5
marekani korea kaskazini ilikusudia kufanya uchokozi,6
sure boy aisikilizia el merreikh,5
usaid benki amana kuwezesha wajasiriamali,5
john witherspoon afariki dunia,4
sababu tano kutazama mechi klabu bora duniani,7
nemc yakifungia kiwanda nyama punda,5
simba yashindwa kutamba aambulia droo dhidi yanga matokeo,8
rc shigela aipongeza tra kuendesha kampeni elimu mlipakodi,8
airtel yang’ara maonesho biashara eac,5
shein akerwa migogoro soka,4
hussein jumbe atamani ubingwa simba,5
mashirika umma yadaiwa mabilioni,4
serikali mali yajiuzulu,3
wanaume washauriwa kula viungo,4
samatta kumfukuzisha kazi john stones,5
serikali mbioni kupanga bei dawa binadamu,6
moi yapokea vifaa tiba kuwait,5
maisha yanavyoweza kukutengenezea msongo mawazo,5
umeme warudi kagera,3
wachimbaji wadogo wamwangukia jpm,4
homa ini tishio eac,4
snura chura wangu bado ameshikiliwa,5
polisi pwani yavunja mtandao wizi tv flat screen,8
ofisa biashara atumbuliwa vitambulisho jpm,5
rais macron aahidi kujenga upya kanisa notredame,7
naibu waziri ataka mimba wanafunzi kudhibitiwa,6
uvccm yakunwa utendaji dk shein,5
vigogo wawili lindi waingia majaliwa,5
brazil yaisamehe deni mwaka,4
azam mwendo visasi,3
kijana miaka jela miaka kubaka bibi miaka,7
madiwani watishia ‘mabubu’,3
kilichomuua bosi freemason,3
wakulima wanufaika mbegu kisasa,4
exim yataka wateja kutumia fursa zilizopo sekta gesi,8
diamond aogopa kuingia kichwa kichwa mpira ahofia timu kukwama,9
selena awaacha njiapanda mashabiki,4
majaliwa ataka tamasha krismasi pasaka mikoa kusini,7
waandishi habari watakiwa kutokuwa waoga,5
malalamiko huduma vituo afya yapungua,5
watoto kupasuliwa moyo milioni,4
‘nic haitabinafsishwa’,2
waziri mkuu alishukuru kanisa katoliki,5
sheikh ponda amtembelea lema gerezani,5
dk shein amponza kigogo act wazalendo,6
kamera kudhibiti dawa kulevya bandarini,5
magufuli amtaka museveni mkali,4
mwandishi aahidi makubwa yanga,4
shirika ndege etihad lapata bosi mpya,6
tra wafanyabiashara lipeni kodi,4
magufuli amzuia manara kutimiza ndoto,5
shoti umeme yateketeza maduka,4
samatta apiga bao ulaya,4
waandamanaji wakusanyika hongkong,3
mke kisena udart kortini,4
jpm kagame wajadili ushirikiano kiuchumi,5
harmonize ajimwambafai asema majibu yapo mtaani show,7
rc ataka majengo hospitali juni,5
rihanna aonyesha jeuri fedha,4
matola afagilia wachezaji geita,4
wabunge kenya wadai kutumiwa picha utupu,6
uchukuzi sc yatamba kutesa mei mosi,6
yondani anogewa mambo yanga,4
davido ashangazwa chioma,3
wanafunzi al muntazir watembelea tsn kujifunza,6
jitihada rais zaongeza ari kulipa kodi mkoani tanga,8
phiri atabiri ugumu mechi mbeya city,6
mwanga mpya tanga fresh,4
shein kuongoza mamia sherehe mapinduzi,5
yavuna sh bil mirahaba,4
wafaransa waanza kumchagua rais,4
viongozi watakiwa kutoa taarifa sahihi mali zao,7
miili iliyoopolewa tope yazikwa,4
mtibwa jkt mambo bado,4
mbagala yafurika wahitaji vyeti kuzaliwa,5
viongozi kudhaminiwa kili marathon,4
wakulima wanufaika mbegu kisasa,4
baba beyonce alimhofia r kelly,5
uhusiano mafuta nazi mawese magonjwa moyo,6
wakazi mbezi wasaka matapeli ardhi,5
rita ora afunguka kuhusu jay z,6
uwakala miss mil,3
safisha mafisadi ccm yapaisha pato,5
klabu kupambana vishale arusha,4
nyama choma chipsi zilivyoadui afya,5
mijini kiharusi kuliko vijijini,4
tume yalia adhabu kifo,4
ufaransa ujerumani kuzindua muungano ushirikiano kimataifa,6
waziri ataka tafiti kukabili maradhi yasiyoambukiza,6
sulle avunja rekodi ikangaa,4
benki im yatia fora sabasaba,5
serikali yaeleza akiba nishati mafuta corona,6
mkuu mkoa anusurika kifo wawili wajeruhiwa,6
wadau kukutana dodoma kujadili changamoto kilimo,6
atuhumiwa kumuua mwanae aliyeunguza pazia chumbani,6
kocha prisons aiparura bodi ligi,5
viwanda juisi pombe korosho vyaja,5
ccm yaagiza vibarua miradi serikali walipwe,6
ujerumani yatoa bilioni kusaidia wakimbizi kigoma kagera,7
maprofesa wampinga ndalichako,3
kipa simba ataja kilichowamaliza,4
wizara maji ilivyowatua ndoo kichwani wanamke,6
real madrid mabingwa uefa super cup,6
chris brown ambeba davido,4
mnangagwa arejea nyumbani hali shwari,5
upelelezi kesi mhasibu takukuru wakamilika,5
simba yaikabili kombaini zanzibar,4
diamond kutimiza ahadi kutoa kodi aanza familia,7
mayanja ajifunga coastal miaka,4
nmb yatoa misaada sh milioni,5
watanzania washauriwa kuboresha afya zao,5
lugola maisha mashoga hayako hatarini,5
kenya yasaini makubaliano afrika kusini kufundisha kiswahili,7
marekani iran zavimbiana sakata saudi arabia,6
rais uturuki azuru vatican,4
wakulima wanufaika mbegu kisasa,4
mimba utotoni tishio lindi,4
muswada dawa kulevya kutikisa blw,5
rc aagiza wasio sare waende sekondari,6
filamu bongo kuonyeshwa netflix,4
dc ashambuliwa mishale karagwe,4
nondo kuandaa waraka kuelezea yaliyomkuta,5
huddah tajiri,2
msenegali ashindwa kuibeba simba,4
mitaji ubia chachu uchumi,4
ubaguzi rangi mchungu wazawa afrika kusini ﻿,7
makontena makonda kupigwa mnada kulipia kodi,6
mloganzila kutoa mawe figo mionzi,5
mapambano dhidi ukimwi yanahitaji mbinu mpya,6
wizara kuwafunga tembo vifaa mawasiliano,5
mwijage inaingia uchumi viwanda,4
beki singida united adondoka miwili simba,6
wafaidika jiongeze mshiko,3
veta kufundisha kutengeneza roboti,4
mbeya city yaichimba mkwara coastal,5
brigedia mkeremy aishauri tfs,4
magufuli viongozi michezo wezi,4
afrika kusini kubinafsisha ardhi fidia,5
kibadeni ahaha kuiokoa jkt ruvu,5
jioni simba kessi bado kumalizana,5
jennifer lopez aisaidia puerto rico,5
jahazi lazama laua likielekea pemba,5
majaliwa tuna sukari kutosha,4
walioshtakiwa rushwa kenya kukaa rumande wiki,6
vigogo halotel waendelea kusota rumande miezi mitatu,7
mkataba dhidi unyanyasaji kazini waridhiwa kimataifa,6
dk kigwangala awapa ushauri wafanyakazi wizara,6
viongozi wasimamishwa mikopo udsm,4
mfanyakazi awaambukiza corona wafanyakazi,4
kumbe janet jackson mtoto,4
mbio kumtafuta mrithi rais alassane outtara zashika kasi,8
wafa wawili wajeruhiwa ajali lori,5
ariana grande awakumbuka mashabiki manchester,5
indonesia kusitisha ukoaji waliokufa tetemeko,5
malori mtumba yapigwa marufuku,4
staili trump burudani tupu,4
lissu wasonga nusura wazichape mahakamani,5
yanga raha zao simba yabanwa,5
simbachawene aagiza vibali zamani kufutwa,5
ebitoke ben pol akinikataa usichana wangu nitampa atakayenioa,8
pellegrini aanza kuwaaga wachezaji man city,6
bandari musoma yaanza kasi,4
buffon msimu ujao nitastaafu soka,5
muhimbili yaokoa bilioni miaka minne,5
jeshi sudan laamua uchaguzi miezi tisa,6
wapimwa dawa kulevya,3
kisa chamasimba yaijia yanga,4
kabudi aomboleza kifo rais vietnam,5
ndege isiyo rubani yatunguliwa,4
‘mageto yanayopangisha wanafunzi yasajiliwe’,4
ronaldo ampagawisha zinedine zidane,4
trump sijali tuhuma mauaji ninasimama saudi arabia,7
smz yaipongeza smt kuzuia mifuko plastiki,6
tbs kutoa bure nembo ubora,5
wizkid siangalii niliyoyafanya,3
waumini anglikana dar nusura wazichape kavukavu,6
beka kuzindua bendi aprili,4
korosho kahawa kunadiwa sabasaba,4
mkapa atajwa uchumi viwanda nchini,5
uganda yazuiliwa misri yailaza dr congo afcon,7
dk ndugulileserikali itatoa mwongozo utoaji dawa,6
tabora kuwezesha kilimo matrekta,4
kaseke matumaini kibao yanga sc,5
facts production kuuza filamu nyumba nyumba,6
rais bongo kurejea gabon leo,5
gareth bale ahakikishiwa kubaki madrid,5
fomu urais drc yauzwa milioni,5
rwanda angola zaanzisha ushirikiano sheria usalama,6
taarifa rushwa dodoma zafanyiwa kazi,5
foleni meli dar historia,4
haki ikiongezeka itapanda uchumi,4
vigogo halotel waendelea kusota rumande miezi mitatu,7
namba gari waliomteka mo hazitambuliki,5
magufuli kuzindua upanuzi uwanja ndege mtwara,6
sure boy atamba azam kutwaa ubingwa,6
sababu jabali sadc zatajwa,4
tanzia msanii bi cheka afariki dunia,6
cardi b offset wafanya kufuru mtoto,6
mexico yang’ara urembo dunia,4
… bashungwa ajipanga kakunda akubali matokeo,6
beki yanga awazia ubingwa,4
upinzani kutangaza matokeo urais kenya,5
dudubaya awashukuru basata aahidi mahakamani,5
auawa akigombea soda,3
serikali wapinzani wavutana kuzikwa upya savimbi,6
nabii atiwa mbaroni mahubiri kelele,5
mfuko dhamana wazalishaji wadogo nchini wazinduliwa,6
mayanja atoa angalizo simba,4
mfumo elimu eac kuwiana,4
majaliwa atoa maagizo mazito uwekezaji,5
mchungaji rwakatare kuzikwa,3
ujenzi njia kuu umeme wakamilika,5
vijana wataka misamaha kodi ifutwe,5
mwijage tengenezeni bidhaa bora,4
balozi marekani nchini ujerumani awaponda viongozi ulaya,7
mwuguzi amchomoa mgonjwa dripu wodini amuuzia mwingine,7
fedha rambirambi zatumika kujenga hospitali,5
simba hakuna kulala,3
kenya yaibeba eac dunia,4
amber rose ataka mtoto pili wiz khalifa,7
benki azania yadhamini kids run dar,6
okwi apangua mipango phiri,4
kiir aahidi kufanya kazi upinzani,5
wagonjwa homa ini kupatiwa arvs,5
burundi yapewa kujiunga sadc,4
okwi silaha yetu yanga simba,5
azam yaipiga bao yanga usajili,5
serikali yakanusha uwepo ebola nchini,5
mzee anayesaka mke aapa kumpata mwaka,6
gari wagonjwa laua mwanafunzi,4
serikali yashauriwa kuweka fedha kujikimu wanafunzi akaunti zao binafsi,9
chadema ccm wamruka wema,4
dc aamuru mchina akamatwe,4
majadiliano bomba mafuta yashika kasi,5
anglikana dar yazidi kupasuka,4
jaji msuya afariki dunia ugonjwa kiharusi,6
maji kufikishwa mji serikali,4
rc awapa somo watumiaji bandari kigoma,6
ibrahim ajibu atuma salamu muagano yanga mashabiki wagawanyika,8
mradi maji wamaliza kero kijiji mkakatika,6
taifa stars mguu sawa,4
kifaa kipya chatua jangwani,4
mambo kutazama mchezo simba vs power dynamo ‘simba day’,9
zanzibar watuma rambirambi vifo morogoro,5
simba siyo riziki z’bar,4
cannavaro kumrithi lwandamina yanga,4
kagera sugar kufumua kikosi chote,5
ofisi msajili yafichua kiini kutokwisha mgogoro cuf,7
awezeshwa kuboresha biashara korosho,4
airtel yashiriki bonanza kujenga afya,5
utouh ripoti cag jicho wananchi,5
wauawa shambulio risasi marekani,4
belle siwezi uhusiano ‘mamama’,4
mo ajirudi simba asema kilichoandikwa jana hakukusudia atoa tumaini,9
hospitali mkapa yatibu wagonjwa tezi dume,6
tetesi soka ulaya jumamosi,4
bei kahawa yaporomoka,3
jeshi polisi latoa tahadhari mkesha mwaka mpya,7
kaliua watumia wanafunzi kumaliza upungufu madarasa vyoo nyumba walimu,9
umri kupima vvu kupunguzwa,4
wafanyabiashara wapatiwa elimu kodi ilala,5
serikali kuanzisha benki dna kupambana uhalifu,6
pluijm aanza kazi kuimaliza apr,5
yanga yaishusha azam yikpe afungua akaunti mabao,7
bifu tambwe ngoma kisa mafahari wawili,6
majanga manji,2
netanyahu aipinga hotuba kerry kuhusu makazi,6
magufuli nape bado nimemsamehe,4
‘pyramids wamekwisha’,2
wafanyabiashara wapatiwa elimu kodi ilala,5
ras aagiza wagonjwa wanaume wafanyiwe tohara,6
mahafali mabaharia kufanyika wiki ijayo,5
virusi corona vyakosesha burudani msimu pasaka,6
aveva kaburu kusomewa maelezo agosti,5
zari diamond nafuata dini mpenzi wangu,6
huyu ndiye black coffee,4
chris brown amwomba radhi karrueche,5
tra yatumika kutapeli wafanyabiashara,4
uchangiaji damu bado tatizo nchini,5
tukio ujambazi kariakoo sinema,4
stars kujipima libya leo,4
wagonjwa moyo wasichelewe kuja jkci,5
hukumu malinzi nov,3
waganga tiba asili lindi kukutana,5
lugola atoa agizo kituo polisi stakishari,6
sido yaalika wajasiriamali mafunzo,4
mdhamini asononeka geita kushushwa daraja,5
‘daladala zinapaswa kupita daraja mfugale tazara’,6
familia yafikishwa mahakamani kukeketa watoto,5
ndugai cag asipokuja tutamuonesha,4
benki damu mkoa,3
meya amwomba radhi keita lazio,5
wenye vvu uganda hawatumii arvs,5
madaftari pac yaokotwa,3
kilifest ilivyofana dar,3
lady jay dee awachana wapenda sifa,6
watumishi wawili nemc waondolewa bandari dar,6
act kushirikiana vyama upinzani kutetea demokrasia,6
niyonzima aomba radhi yanga,4
virusi vyashambulia kompyuta hospitali,4
waliomwibia padre dola mitandaoni wakamatwa,5
mwakyembe jukwaa fursa biashara geita mtazamo mpya kujitathimini,8
majaliwa azindua mkakati mpya kudhibiti ukimwi,6
hatuzuii wachina kuingia,3
treni zimbabwe,2
yaliojiri ufunguzi ligi kuu bara,5
dayna picha ay prezzo imenichongea,5
mwakyembe watanzania lindeni mila maadili,5
kagame ataka ushirikiano eac,4
tunu pinda ahimiza vicoba kupunguza umasikini,6
tra yasaini mkataba mafunzo zrb,5
magufuli amteua nape wizara michezo,5
gor mahia khartoum zatangulia nusu fainali,6
kocha atemwa ‘vijeba’,3
daktari aacha kazi kuwekwa lupango rc,6
manji aitosa yanga,3
mahakama yatoa hati kumkamata wema sepetu kuruka dhamana,8
mgambo wadaiwa kumuua mwanakijiji kukosa sh kujenga choo shule,9
lowassa aitwa polisi dar,4
norway yatoa bilioni kuendeleza kigoma,5
rufaa ole nangole imekwama kusikilizwa,5
mashabiki nigeria kuchukia ushindi diamond itufunze kitu,7
mobetto haumizwi mitandao kijamii,4
serikali yahamasisha uwekezaji umeme gesi,5
profesa ndulu aaga ujumbe mzito,5
jaji lubuva atunukiwa nishani mapinduzi,5
watoto milioni tatu wakabiliwa utapiamlo,5
vodacom yasaidia wasichana,3
azam jku rayon hapatoshi leo,5
magufuli uhuru wazindua kituo huduma namanga,6
urambo yavutia wawekezaji hoteli viwanda,5
sgr kunufaisha wenye malori,4
upelelezi baba aliyebaka bintiye wakamilika,5
ommy dimpoz wema siyo mpenzi wangu,6
idris sultan nilitumia milioni milioni bba,6
msamaha kumpeleka pistorius olimpiki,4
jamii yaaswa kuchangia damu,4
lady jay dee atimkia taurus musik,6
caf yailima faini yanga,4
warushiana vijembe bungeni,3
dortmund yambania aubameyang kuondoka,4
jitihada rais zaongeza ari kulipa kodi mkoani tanga,8
utendaji kazi magufuli wamkuna waziri hasunga,6
